date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,6.6,4.6,7.8,2.2,,271.2,31,63,1017.7,
2019-01-02,2.1,-1.7,4.5,0,,318.9,23.1,57.4,1023.4,
2019-01-03,-0.6,-2.4,1.8,0,,314.5,12.3,27.8,1032.5,
2019-01-04,1.4,-1.5,4.9,0.8,,275.6,14.7,33.3,1028.1,
2019-01-05,6.1,4.4,7.5,0.8,,322.2,14.8,31.5,1020.3,
2019-01-06,2.3,1.4,4,0,,313.6,7.2,20.4,1028.2,
2019-01-07,3.4,1.2,5.4,2.9,,227,11.4,35.2,1025.8,
2019-01-08,5.5,3.6,6.2,9.9,,258.9,28.6,57.4,1001.9,
2019-01-09,2.6,1.9,3.6,9.8,,328.9,22,44.5,1006,
2019-01-10,1.1,-0.6,2.2,0.8,,334.9,12.2,29.6,1022,
2019-01-11,1.8,-0.7,4.6,2.3,,245.4,16.5,31.5,1017,
2019-01-12,4.2,2.9,5.3,3.8,,269.6,20.6,44.5,1010.5,
2019-01-13,6.3,5,7,7.5,,263.8,27.2,53.7,995.9,
2019-01-14,3.1,0.1,6.1,0.3,,292.6,30.1,63,999.7,
2019-01-15,3.2,0.3,6.3,5.5,,274.4,28.4,53.7,1008.5,
2019-01-16,6.6,5.6,7.3,2,,245.1,24.8,46.3,1006.5,
2019-01-17,5.1,3.3,6.3,2.6,,238.2,23,44.5,999.3,
2019-01-18,0.8,-0.9,3,0.7,,274.5,16.1,42.6,1014.3,
2019-01-19,-0.7,-2.6,1.6,0,,193.6,7,18.5,1020.5,
2019-01-20,-2.8,-4.9,0.2,0,,82.7,5.4,14.8,1020.1,
2019-01-21,-3.1,-4.4,-1.3,0,,201.2,8.5,20.4,1021.9,
2019-01-22,-2.6,-4.2,0.1,0,,161.7,10.4,24.1,1013,
2019-01-23,-4.4,-6,-2.1,0,,105.4,16.3,31.5,1006.1,
2019-01-24,-4.6,-5.3,-3.7,0,,98.1,11.6,27.8,1012.6,
2019-01-25,-4.4,-5.7,-3,0,,210.4,7.3,18.5,1014.8,
2019-01-26,-0.1,-3.8,2.3,7.8,,203.5,10.1,20.4,1002.8,
2019-01-27,3.8,2.4,5.1,3.8,,179.7,14.7,29.6,990.7,
2019-01-28,3.5,1.8,5.2,1.8,,203.5,11,25.9,991.1,
2019-01-29,1.2,-0.5,2.7,1.8,,257.3,14.1,31.5,1002.3,
2019-01-30,-0.4,-2.5,2.1,0,,117.2,15.9,37,1000.9,
2019-01-31,0.5,-0.9,3,0,,135.6,11.6,31.5,1000.7,
2019-02-01,-0.2,-2.3,1.9,0,,106.7,14.9,31.5,997.4,
2019-02-02,0.8,0.4,1.4,2.2,,335.5,9.3,20.4,997.1,
2019-02-03,1,0.3,1.7,0.7,,307.2,11.9,25.9,1012.7,
2019-02-04,1.1,-1,4.1,0,,230.9,13.1,27.8,1026.6,
2019-02-05,2,0.1,4.5,0,,225.7,16.1,31.5,1025.6,
2019-02-06,3,0.7,5.7,0,,196.4,12.4,27.8,1025,
2019-02-07,3.7,1.2,6.6,0.3,,187.2,15.7,31.5,1013.5,
2019-02-08,5.3,2.6,8.2,0,,206.5,19.6,37,1013.2,
2019-02-09,7.4,6,9.7,1.4,,212.5,25.5,51.8,1004.9,
2019-02-10,7.1,5.7,8.5,9.2,,197.6,23.2,46.3,998.5,
2019-02-11,5.3,2.8,7,3.3,,282.4,26.2,53.7,1004.6,
2019-02-12,3.1,1.8,5.3,0,,290.4,17.1,38.9,1026.4,
2019-02-13,6,2.5,8.3,0.1,,263.6,20.5,38.9,1031.2,
2019-02-14,7.2,3.9,10.3,0.2,,256.9,12,25.9,1034.9,
2019-02-15,5.5,0.6,11.8,0,,233.4,7.2,16.7,1033.5,
2019-02-16,7,1.5,13.7,0,,206.8,10,25.9,1026.5,
2019-02-17,7.2,2.7,12.9,0,,193.7,7.1,16.7,1024.3,
2019-02-18,7.4,2.7,13.5,0,,182.9,6.9,16.7,1019.7,
2019-02-19,6.6,3.6,9.8,0.6,,242.1,17.7,42.6,1015.1,
2019-02-20,7.2,5.7,9.3,0,,261.2,17.2,35.2,1020.5,
2019-02-21,7.8,5.8,9.6,2.7,,258.8,16.8,37,1023.3,
2019-02-22,4.2,-2.1,8.4,0.6,,51.2,13.8,33.3,1036.3,
2019-02-23,-0.1,-4.6,5.4,0,,140.2,8.9,22.2,1044.1,
2019-02-24,3.9,-2.4,11.1,0,,229.8,6.6,18.5,1038.9,
2019-02-25,6.9,1.2,13.4,0,,280.5,9.3,24.1,1036.6,
2019-02-26,7.9,3.7,13.7,0,,295.8,9.5,22.2,1032.8,
2019-02-27,8.7,3.2,15.5,0,,246.9,9.1,25.9,1026,
2019-02-28,8,5.4,11.8,0,,283.4,15.8,37,1011.7,
2019-03-01,5.4,3.3,6.9,0.1,,300.3,7.9,22.2,1011.7,
2019-03-02,4.1,2.1,6.3,0.1,,242.4,10.9,27.8,1014.9,
2019-03-03,8.4,4.5,10.8,4,,220.2,21.7,42.6,1006.3,
2019-03-04,10.6,7.1,14.3,1.1,,224.9,28.9,64.8,993.8,
2019-03-05,7,4.4,9,0.8,,258.5,29.8,61.1,1001.3,
2019-03-06,6.9,1.8,11.5,0,,182.3,16.1,37,1008.1,
2019-03-07,11.1,8.5,15.5,1.2,,199.4,22.1,50,997.1,
2019-03-08,7.7,4.8,9.4,0.8,,244,28.6,64.8,1005,
2019-03-09,6.9,4.6,10,7.8,,239.2,28,63,1005.9,
2019-03-10,5,3,7.3,12,,256.2,19.2,57.4,1003.2,
2019-03-11,3.2,1,5.3,3.9,,272.7,21.1,46.3,1009.7,
2019-03-12,4.5,0.4,8.9,0,,234.4,17.9,38.9,1015.9,
2019-03-13,7.1,5.2,9.6,2.2,,222,28.5,59.3,1001.3,
2019-03-14,5.9,4.8,7.2,12.4,,236.7,27,53.7,998,
2019-03-15,7.1,5.5,9,4.3,,260.6,29.3,59.3,997.5,
2019-03-16,6.8,5.1,8.5,9,,250,25.3,63,1003.9,
2019-03-17,8.7,4.9,12.4,1.3,,231.3,24.8,51.8,1000.8,
2019-03-18,5.1,3,7.4,1.6,,252.3,27.7,61.1,1010.7,
2019-03-19,5,2.4,8.3,0,,273.2,16.4,38.9,1024.5,
2019-03-20,6.5,-0.1,11.9,0,,248.5,11.8,35.2,1032.1,
2019-03-21,10.9,7.9,15.2,0,,259.6,11.8,27.8,1033.2,
2019-03-22,10.8,6.4,15.9,0,,191.3,5.5,14.8,1032,
2019-03-23,11.9,7,17.7,0,,268.2,10.7,33.3,1026.7,
2019-03-24,7.5,3.8,11.2,0,,324.1,6.6,22.2,1025.8,
2019-03-25,4.5,2.6,7,3.9,,279.6,15.7,38.9,1015.5,
2019-03-26,4.9,1.4,7.8,0,,289.8,17.4,48.2,1023.7,
2019-03-27,6.2,2.6,9.1,1.1,,274.8,14.5,31.5,1029.2,
2019-03-28,8.7,7.1,10.9,3.3,,289,12,27.8,1032.4,
2019-03-29,10.1,6.8,14.6,0,,244,7.7,22.2,1032,
2019-03-30,11.5,5.1,18.2,0,,215.7,9.9,31.5,1023,
2019-03-31,,,,,,,,,,
2019-04-01,5,-1.2,10.9,0,,77.4,11.6,33.3,1027.2,
2019-04-02,8,1.3,14.5,0,,118.9,17.7,37,1015,
2019-04-03,12.9,8.3,18,0,,122.8,12,27.8,1004.2,
2019-04-04,14.2,9.1,19.8,0,,111,15.4,37,999.2,
2019-04-05,13.1,9.7,16.8,0,,132.2,10.5,25.9,1004.1,
2019-04-06,14.6,8.4,21.3,0,,79.8,12.4,35.2,1007.8,
2019-04-07,13.8,8,19.9,0,,66.1,10.6,29.6,1008.2,
2019-04-08,12.2,6.2,18.6,0,,28.8,9.8,33.3,1010.7,
2019-04-09,7.5,4.5,11.1,0,,38,13.9,29.6,1015,
2019-04-10,5.2,1.7,8.4,0,,53.2,11.1,27.8,1018.1,
2019-04-11,3.8,0.3,6.4,0,,43.3,11.6,29.6,1024.3,
2019-04-12,3,0.9,4.6,0,,49.1,11.6,29.6,1026.6,
2019-04-13,3.6,0.9,5.8,0,,56.2,11.4,29.6,1025.2,
2019-04-14,5.4,2.2,9.2,4.1,,47.8,13.8,31.5,1025.3,
2019-04-15,7.8,2.2,13,0,,58.2,12,29.6,1028.1,
2019-04-16,8.9,2,15.2,0,,87.4,14.1,38.9,1024.1,
2019-04-17,10.9,3.9,17.4,0,,81.5,12.7,33.3,1027.7,
2019-04-18,13.9,6,21.2,0,,74.9,11.9,35.2,1030.2,
2019-04-19,15.4,7.9,22.7,0,,74.8,10.9,29.6,1032.6,
2019-04-20,13.3,5.9,20.1,0,,30.8,8.2,25.9,1030.9,
2019-04-21,14,6,21.3,0,,69.7,8.2,24.1,1024.2,
2019-04-22,13.2,7.4,18.7,0,,86.2,16.2,46.3,1017.7,
2019-04-23,14.9,9.1,20.3,0,,103.5,26,61.1,1010.6,
2019-04-24,17,11.6,23,0,,122.7,19.3,38.9,1006.8,
2019-04-25,18.8,13.3,25.3,0,,175.6,10.4,27.8,1010.4,
2019-04-26,18.6,13.7,24.6,0.9,,222.6,15.6,46.3,1008.3,
2019-04-27,13.3,10.3,16.7,4.8,,264.1,14.2,46.3,1012.2,
2019-04-28,10.7,9,12.6,0.3,,280.9,13.5,33.3,1016.3,
2019-04-29,10.6,8.4,15.1,3.4,,333.9,18.1,44.5,1017.9,
2019-04-30,11.1,4.9,17,0,,353.1,14.8,33.3,1017.6,
2019-05-01,12.4,8.2,17.7,0,,296.3,16.2,42.6,1012.6,
2019-05-02,10.9,7.8,14.2,1.1,,279.8,21,50,1006.1,
2019-05-03,8.8,6.9,10.4,0.2,,285.2,18.8,46.3,1007,
2019-05-04,6.5,4.2,8.9,0.7,,278.3,12.6,29.6,1006.8,
2019-05-05,6.4,1.1,10.8,0,,300.7,11.1,27.8,1015.1,
2019-05-06,7,2.5,10.8,0.7,,277.1,14.4,37,1017,
2019-05-07,7.8,4.4,11.5,0.4,,267.7,11.5,29.6,1017.4,
2019-05-08,10.9,2.9,17.7,0.5,,148.3,16,44.5,1009.1,
2019-05-09,12.9,10,16.4,5.1,,187.3,11.6,29.6,1000,
2019-05-10,12.1,8.2,16.2,2.5,,258.5,11.7,35.2,1006.3,
2019-05-11,10.4,6.4,13.6,3.2,,30.3,9.9,31.5,1013.5,
2019-05-12,10,6.9,13.5,0.6,,336,16.9,40.8,1026,
2019-05-13,9.1,4.1,13,0,,333.2,14.1,38.9,1034.3,
2019-05-14,8.5,4,12,0,,17.2,17.4,46.3,1032.3,
2019-05-15,7.9,3.7,10.6,1.4,,17.3,16.1,37,1026.2,
2019-05-16,9.3,7.7,11.7,11.4,,29.6,13.1,33.3,1016.4,
2019-05-17,13.2,6.8,18.8,0,,117.4,8.9,27.8,1011.7,
2019-05-18,16.7,10.1,22.9,0,,111.4,13.6,35.2,1008.3,
2019-05-19,18.4,11.1,24.4,0,,91.9,12.5,37,1005.9,
2019-05-20,18.1,13.7,22.9,9.7,,63.4,12.9,40.8,1002.8,
2019-05-21,17.8,12.4,22.4,0,,68.5,8.6,25.9,1004.2,
2019-05-22,14.1,12,17.2,3.4,,302.4,19,42.6,1011.5,
2019-05-23,13.1,9,17.3,0,,308.8,14.7,35.2,1017.9,
2019-05-24,16.1,8.3,22.5,0,,222,11,29.6,1014.2,
2019-05-25,14.2,10.8,17.4,0,,295.8,14.2,35.2,1014,
2019-05-26,14.9,8.8,19.9,0,,248.9,14.2,44.5,1012.5,
2019-05-27,16.5,14.3,18.6,1.3,,238.2,13.2,33.3,1007.5,
2019-05-28,14.8,12.1,17.6,0,,324.5,11.4,35.2,1006.6,
2019-05-29,12.2,8.2,16.1,0,,336.4,12.4,31.5,1018.8,
2019-05-30,14.2,5.3,21.7,0,,193.6,12.4,35.2,1023.4,
2019-05-31,17.5,13,21.8,0.9,,253.1,11.8,31.5,1022.2,
2019-06-01,20.2,13.7,26.5,0,,256,11.7,37,1021,
2019-06-02,22.5,13.9,30.2,0,,140.2,9.9,27.8,1017.3,
2019-06-03,25.6,17.4,33.3,0,,186,15,40.8,1012.9,
2019-06-04,23.3,18.2,28.6,0,,24.6,9.9,25.9,1012.2,
2019-06-05,26.1,17.7,33.5,0,,122.4,15.9,38.9,1008.5,
2019-06-06,22.5,16.4,27.8,15.2,,158.8,15.4,40.8,1007.9,
2019-06-07,19,13.7,25.1,2.9,,263,10.9,37,1014.3,
2019-06-08,18.2,14.5,21.8,0,,220.5,16.8,51.8,1017.8,
2019-06-09,18.6,10.9,25.2,0,,181.2,11,27.8,1023.4,
2019-06-10,20.8,16,26.1,3.6,,80.2,11.4,27.8,1014.1,
2019-06-11,23.1,18.7,28.6,6.3,,143.1,9.3,25.9,1009,
2019-06-12,24,18.9,30.4,10.2,,125,12.7,38.9,1007.3,
2019-06-13,20,15.3,24.6,2.4,,231.4,9.1,33.3,1014,
2019-06-14,22.8,14.5,30,0,,115.4,11,33.3,1017.3,
2019-06-15,23.9,20.3,28.3,4.7,,141.8,16.8,40.8,1011,
2019-06-16,18.6,15.2,21.2,0,,303.2,13,33.3,1018.7,
2019-06-17,20.8,14.3,26.3,0,,243,6.6,22.2,1021.4,
