date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,2,-1,4.4,0,,251.6,10.8,24.1,1032.9,
2020-01-02,0.3,-2.7,5.3,0,,218.2,10,24.1,1027.1,
2020-01-03,3.8,0.2,6.2,4.1,,220,18,38.9,1017.8,
2020-01-04,4.2,2.3,5.4,4.4,,280.2,23.7,59.3,1019.5,
2020-01-05,1.8,-0.3,3.5,0,,260.5,13.2,40.8,1031.9,
2020-01-06,3.7,2.4,5.5,0,,217.7,12.1,25.9,1027.5,
2020-01-07,2.3,-0.1,4.6,0,,220.5,11.4,25.9,1023.8,
2020-01-08,5.8,3.1,8.3,3.5,,215.8,17,35.2,1022.4,
2020-01-09,8.5,7.1,9.7,9.5,,203.4,14.1,31.5,1016.6,
2020-01-10,9.4,7.4,11,5.6,,238.8,17.5,38.9,1013.8,
2020-01-11,5.5,2.7,7.2,0.1,,259.1,16.1,40.8,1028.3,
2020-01-12,3.8,1.3,6.2,0,,215.6,19.4,42.6,1020.9,
2020-01-13,5.9,4,7.5,0,,220.2,15.1,42.6,1019,
2020-01-14,7.2,3.6,10.2,0,,188.6,20.9,44.5,1011.3,
2020-01-15,10.2,8.7,13.4,0,,202.5,21.2,42.6,1013.8,
2020-01-16,7.2,4.5,9.8,0,,210.4,12.3,33.3,1026.1,
2020-01-17,5.1,2.9,8.7,0,,156.5,15.2,33.3,1020.6,
2020-01-18,5.2,3.4,7.1,0.4,,238.9,14,35.2,1021.5,
2020-01-19,3.6,2.3,4.9,0.1,,274.9,9.8,22.2,1032.7,
2020-01-20,2.2,0.4,3.9,0,,258,10,24.1,1044.8,
2020-01-21,2.6,0.3,6.2,0,,248.3,14.9,31.5,1039.5,
2020-01-22,3.7,1.8,5.6,0.5,,279.7,16.1,37,1032.1,
2020-01-23,3.1,1.5,4.8,0,,243.7,9.4,20.4,1032.5,
2020-01-24,1.3,-0.4,4.1,0,,230.4,9.7,22.2,1023.3,
2020-01-25,1.8,0.8,3.2,0,,236.2,10.6,22.2,1021.5,
2020-01-26,1.1,-0.5,3,0,,197.5,9.4,18.5,1018.9,
2020-01-27,4.1,1.1,7.1,1.3,,192.5,14.9,35.2,1010.6,
2020-01-28,6,4.1,7.9,8,,208.4,21,50,994.6,
2020-01-29,4.6,3.8,5.8,3.3,,256.9,24.2,53.7,1000.1,
2020-01-30,5.7,4,7.6,6.2,,236.2,21.2,50,1006.1,
2020-01-31,9.7,6.9,11.4,2,,256.1,22.4,51.8,1002.3,
2020-02-01,10.8,9.4,12.3,8.2,,236.2,18.8,48.2,1001.8,
2020-02-02,7.9,5.7,9,4.7,,261.4,19.6,50,1004.6,
2020-02-03,6.9,5.4,8.8,6,,265.7,15.2,38.9,1006.5,
2020-02-04,5.5,4.1,6.7,4.1,,292.1,20,50,1005.2,
2020-02-05,3.4,1.1,5.3,1.1,,312.8,18.6,55.5,1027.1,
2020-02-06,4.2,1.4,6.4,0,,274.6,17.7,38.9,1027.8,
