filename,Acoustic_Complexity_Index__main_value,Acoustic_Complexity_Index__min,Acoustic_Complexity_Index__max,Acoustic_Complexity_Index__mean,Acoustic_Complexity_Index__median,Acoustic_Complexity_Index__std,Acoustic_Complexity_Index__var
PC0000_0187.wav,38148.87492386964,148.94056545614353,188.46253188282077,152.5954996954786,151.42951027092244,4.2999046248114565,18.489179782474956
PC0001_0187.wav,37109.31791539942,146.173069833816,194.87034075252222,152.08736850573538,149.22248992325518,7.8904116893782685,62.25859662787722
PC0001_0828.wav,38440.798606294535,150.51843057295733,169.00364352907198,155.630763588237,155.3618373653227,2.530050768582041,6.401156891602576
PC0000_0181.wav,38629.77889942605,149.55748376314685,179.57333926452162,157.03162154238225,156.9803944747162,4.321512618190453,18.675471309179304
PC0001_0093.wav,36881.84377326063,142.93380444124497,164.63770445218464,151.77713486938524,151.7659909371113,2.8339916602359567,8.031508730286955
PC0000_0279.wav,38553.54981298348,148.87805954907387,181.06933582762343,159.31218930984903,158.55912842400028,4.447778643013908,19.782734857250645
PC0001_0091.wav,36650.53327122271,144.56468355996032,180.50432992821416,150.8252397992704,150.10970705959636,3.686543347435724,13.590601852522592
AD0000_0045.wav,40394.64949857014,151.68942921038632,161.96455861343523,154.17805152126,154.05625596316952,1.3953035235780873,1.946871922909426
PC0000_0250.wav,38771.58064078925,145.3314658372551,156.49840581859021,149.12146400303553,149.14103370824984,1.518056063807455,2.3044942128625836
PC0001_1204.wav,36237.36044588786,147.20553401447702,159.38343657946325,149.7411588673052,149.52183509530983,1.5221341622308397,2.3168924078301805
PC0001_1178.wav,36856.63962720549,147.8116139711098,223.12220995527747,151.67341410372623,150.40704211879648,7.1649600595536445,51.336652654998964
PC0001_0073.wav,37065.54567532484,143.79705445549112,165.73748454433144,149.4578454650195,148.8604977718129,2.9439595206817852,8.666897659412927
PC0000_0249.wav,36926.11325720513,143.12919481314137,171.9663385707244,150.10615145205344,149.24009847218832,4.040322042277379,16.324202205312446
PC0000_0276.wav,41920.50259610706,154.39379353607063,182.0938567726636,161.23270229271947,159.6990224130725,5.942812152569933,35.31701628073288
PC0001_0005.wav,36528.071831454894,148.8047042661596,164.36636110709156,150.32128325701615,150.08038064281897,1.6019821563140593,2.566346829148643
PC0001_0010.wav,40279.03911076766,154.31208576644673,222.26843913404076,165.0780291424905,161.78892883495294,9.20851140103972,84.79668222307852
PC0000_0177.wav,37791.148398442245,150.74015268422565,187.65314251514354,155.5191292116964,154.48976911461855,4.104270444499487,16.845035881592015
PC0001_0188.wav,36284.09626786787,144.49733170621082,177.98694849660097,148.705312573229,147.89585333975492,3.7271905643565644,13.891949503028604
PC0001_0189.wav,38291.83658357678,148.75170039186435,203.01459352220112,153.78247623926416,151.4879913014217,7.5586992675355,57.1339346170417
PC0000_0189.wav,36093.28982528564,140.74247068153156,162.37476656204745,149.1458257243207,149.248135981948,2.064951789787902,4.264025894148259
PC0001_1268.wav,36606.74129409084,147.82039197475768,157.4890721019193,150.6450259016084,150.486455829902,1.1552732687956626,1.3346563255938153
PC0000_0176.wav,39128.369745799115,149.24728409402724,198.32902593998486,158.41445241214225,156.8435961623312,7.536127119387904,56.79321195957382
