Name,Taxon name,Taxon type,Taxon ID,Group,Order,Family_Scientific,Family_English,Subspecies,Authority,Breeding Range,Breeding Range-Subregion,Nonbreeding Range,Code,Comment
Picidae,Picidae,Family,,Avifauna,,,,,,,,,,
Plain Sunbird,Anthreptes simplex,Species,,Avifauna,Passeriformes,Nectariniidae,Sunbirds,,"(Müller, S, 1843)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Plaintive Cuckoo,Cacomantis merulinus,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Scopoli, 1786)",OR,Southeast Asia to Philippines,,,
Poisonous Rock Frog,Odorrana hosii,Species,,Herpetofauna,Anura,Ranidae,True Frogs,,"(Boulenger, 1891)",NA,"Malaysia, Thailand, Myanmmar, Malaysia",,,
Prionochilus,Prionochilus,Genus,,Avifauna,,,,,,,,,,
Puff-backed Bulbul,Pycnonotus eutilotus,Species,,Avifauna,,,,,,,,,,
Pulchrana,Pulchrana,Genus,,Herpetofauna,,,,,,,,,,
Purple-naped Sunbird,Nectariniidae,Family,,Avifauna,,,,,,,,,,
Pycnonotidae,Pycnonotidae,Family,,Avifauna,,,,,,,,,,
Pycnonotus,Pycnonotus,Genus,,Avifauna,,,,,,,,,,
Pygmy Squirrel,Exilisciurus exilis,Species,,NA,Squamata,,,,NA,NA,,,,
Raffles's Malkoha,Rhinortha chlorophaea,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Raffles, 1822)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Rattus,Rattus,Genus,,NA,,,,,,,,,,
Red Leaf Monkey,Presbytis rubicunda,Species,,NA,Squamata,,,,NA,NA,,,,
Red-bearded Bee-eater,Nyctyornis amictus,Species,,Avifauna,Coraciiformes,Meropidae,Bee-eaters,,"(Temminck, 1824)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Red-billed Malkoha,Zanclostomus javanicus,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Horsfield, 1821)",OR,"Malay Peninsula, Greater Sundas",,,
Reddish Scops Owl,Otus rufescens,Species,,Avifauna,Strigiformes,Strigidae,Owls,,"(Horsfield, 1821)",NA,,,,
Red Muntjac,Muntiacus muntjak,Species,,NA,,,,,,,,,,
Red-naped Trogon,Harpactes kasumba,Species,,Avifauna,Trogoniformes,Trogonidae,Trogons,,"(Raffles, 1822)",OR,"Malay Peninsula,Sumatra, Borneo",,,
Red-throated Barbet,Psilopogon mystacophanos,Species,,Avifauna,Piciformes,Megalaimidae,Asian Barbets,,"(Temminck, 1824)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Red-throated Sunbird,Anthreptes rhodolaemus,Species,,Avifauna,,,,,,,,,,
Rhacophoridae,Rhacophoridae,Family,,Herpetofauna,,,,,,,,,,
Rhinoceros Hornbill,Buceros rhinoceros,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Linnaeus, 1758)",OR,"Malay Peninsula, Greater Sundas",,,
Rock Skipper Frog,Staurois latopalmatus,Species,,Herpetofauna,Anura,Ranidae,True Frogs,,"(Boulenger, 1887)",Endemic,Borneo,,,
Rooster,Gallus gallus,Species,,Avifauna,,,,,,,,,,
Rough Guardian Frog,Limnonectes finchi,Species,,Herpetofauna,Anura,Dicroglossidae,True Frogs II,,"(Inger, 1966)",NA,"Northern Borneo, Sulawesi",,,
Ruby-cheeked Sunbird,Chalcoparia singalensis,Species,,Avifauna,Passeriformes,Nectariniidae,Sunbirds,,"(Gmelin, JF, 1789)",OR,Nepal to Java and Borneo,,,
Rufous Piculet,Sasia abnormis,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Temminck, 1825)",OR,"Malay Peninsula, Greater Sundas",,,
Rufous Woodpecker,Micropternus brachyurus,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Vieillot, 1818)",OR,widespread,,,
Rufous-backed Kingfisher,Ceyx rufidorsa,Species,,Avifauna,,,,,,,,,,
Rufous-crowned Babbler,Malacopteron magnum,Species,,Avifauna,,,,,,,,,,
Rufous-fronted Babbler,Stachyridopsis rufifrons,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Hume, 1873)",OR,Myanmar to Borneo,,,
rufous-crowned/sooty-capped Babbler,Leiothrichidae,Family,,Avifauna,,,,,,,,,,
Rufous-tailed Shama,Copsychus pyrropygus,Species,,Avifauna,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers",,"(Lesson, R, 1839)",OR,"extreme s Thailand, Malaysia, Sumatra, Borneo",,,
Rufous-tailed Tailorbird,Orthotomus sericeus,Species,,Avifauna,Passeriformes,Cisticolidae,Cisticolas and allies,sericeus,"(Temminck, 1836)",OR,"Borneo, w and sw Philippines",,,
Rufous-winged Philentoma,Philentoma pyrhoptera,Species,,Avifauna,Passeriformes,Tephrodornithidae,Woodshrikes and allies,,"(Temminck, 1836)",OR,Myanmar to Borneo,,,
Sabah Litter Skink,Sphenomorphus sabanus,Species,,Herpetofauna,,,,,,,,,,
Saffron Bellied Frog,Chaperina fusca,Species,,Herpetofauna,,,,,,,,,,
Sambar Deer,Rusa unicolor,Species,,NA,,,,,,,,,,
Sarawak Slender Litter Frog,Leptolalax gracilis,Species,,Herpetofauna,Anura,Megophryidae,Litter Frogs,,NA,NA,,,,
Scaly-crowned Babbler,Malacopteron cinereum,Species,,Avifauna,,,,,,,,,,
Scarlet Minivet,Pericrocotus speciosus,Species,,Avifauna,Passeriformes,Campephagidae,Cuckooshrikes,,"(Latham, 1790)",OR,"Himalayas to Indonesia, Philippines",,AS,Pericrocotus speciosus is split from P. flammeus (Rasmussen & Anderton 2005).
Scarlet-rumped Trogon,Harpactes duvaucelii,Species,,Avifauna,Trogoniformes,Trogonidae,Trogons,,"(Temminck, 1824)",OR,"Malay Peninsula,Sumatra, Borneo",,,
Scincidae,Scincidae,Family,,Herpetofauna,,,,,,,,,,
Shama,Copsychus malabaricus,Species,,Avifauna,,,,,,,,,,
Short-tailed Babbler,Malacocincla malaccensis,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Hartlaub, 1844)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Short-tailed/Horsfields Babbler,Leiothrichidae,Family,,Avifauna,,,,,,,,,,
Short-toed Coucal,Centropus rectunguis,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Strickland, 1847)",NA,,,,
Shrew/squirrel,Mammalia,Class,,NA,,,,,,,,,,
Slender Toad,Ansonia hanitschi,Species,,Herpetofauna,,,,,,,,,,
Slender-billed Crow,Corvus enca,Species,,Avifauna,Passeriformes,Corvidae,"Crows, Jays",,"(Horsfield, 1821)",OR,"Malaysia to Borneo, Philippines, also Sulawesi",,,
Slow Loris,Nycticebus,Genus,,NA,,,,,,,,,,
Smiths Giant Gecko,Gekko smithi,Species,,Herpetofauna,Squamata,Gekkonidae,Geckos,,NA,NA,,,,
Smooth Guardian Frog,Limnonectes palavanensis,Species,,Herpetofauna,Anura,Dicroglossidae,True Frogs II,,"(Boulenger, 1894)",NA,"Palawan, Borneo",,,
Sooty-capped Babbler,Malacopteron affine,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Blyth, 1842)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Southern Pig-tailed Macaque,Macaca nemestrina,Species,,NA,Squamata,,,,NA,NA,,,,
Spectacled Bulbul,Pycnonotus erythropthalmos,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Hume, 1878)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Spiderhunter,Arachnothera,Genus,,Avifauna,,,,,,,,,,
Spiny Slender Toad,Ansonia spinulifer,Species,,Herpetofauna,Anura,Bufonidae,True Toads,,"(Mocquard, 1890)",Endemic,Borneo,,,
Spotted Dove,Spilopelia chinensis,Species,,Avifauna,Columbiformes,Columbidae,"Pigeons, Doves",,"(Scopoli, 1786)",OR,widespread,,,
Spotted Stream Frog,Pulchrana picturata,Species,,Herpetofauna,Anura,Ranidae,True Frogs,,"(Boulenger, 1920)",NA,Malaysia,,,
Square-tailed Drongo Cuckoo,Surniculus lugubris,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Horsfield, 1821)",OR,"nw Himalayas to se China, south to s Thailand, Malaysia, Greater Sundas and Palawan",,ENG,"Change  English name of Surniculus lugubris to Square-tailed Drongo-Cuckoo with splits of S. dicruroides and D. musschenbroeki. Subspecific taxonomy, nomenclature and ranges of this species and Fork-tailed Drongo-Cuckoo are tentative and based primarily on  Payne, 2005 modified by Rasmussen & Anderton, 2005. For alternate treatments see Erritzøe et al, 2012  and Dickinson & Remsen, 2013."
Squirrel,Sciuridae,Family,,NA,Squamata,Sciuridae,Squirrel,,NA,NA,,,,
Sticky Frog,Kalophrynus,Genus,,Herpetofauna,Anura,Microhylidae,Narrow-mouthed Frogs,,NA,NA,,,,
Striated Grassbird,Megalurus palustris,Species,,Avifauna,,,,,,,,,,
Striped Wren-babbler,Kenopia striata,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Blyth, 1842)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Sun Skink,Eutropis multifasciata,Species,,Herpetofauna,,,,,,,,,,
Sunbird,Nectariniidae,Family,,Avifauna,,,,,,,,,,
Sunda Blue Flycatcher,Cyornis caerulatus,Species,,Avifauna,,,,,,,,,,
Sunda Frogmouth,Batrachostomus cornutus,Species,,Avifauna,,,,,,,,,,
Swallow,Hirundinidae,Family,,Avifauna,,,,,,,,,,
Swamp Toad,Ingerophrynus quadriporcatus,Species,,Herpetofauna,,,,,,,,,,
Swift,Apodidae,Family,,Avifauna,Apodiformes,Apodidae,Swifts,,NA,NA,,,,
Tailorbird,Orthotomus,Genus,,Avifauna,,,,,,,,,,
Tailorbird/Prinia,Cisticolidae,Family,,Avifauna,,,,,,,,,,
Thick-billed Flowerpecker,Dicaeum agile,Species,,Avifauna,,,,,,,,,,
Timaliidae,Timaliidae,Family,,Avifauna,,,,,,,,,,
Tree Frog,Polypedates,Genus,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,NA,NA,,,,
Tree Hole Frog,Metaphrynella sundana,Species,,Herpetofauna,Anura,Microhylidae,Narrow-mouthed Frogs,,"(Peters, 1967)",Endemic,Borneo,,,
Treeshrew,Scandentia,Order,,NA,,,,,,,,,,
Triangle Keelback,Xenochrophis trianguligerus,Species,,Herpetofauna,,,,,,,,,,
Trogon,Trogoniformes,Order,,Avifauna,,,,,,,,,,
Tupaia,Tupaia,Genus,,NA,,,,,,,,,,
Twittering Slender Litter Frog,Leptolalax fritinniens,Species,9129624,Herpetofauna,Anura,Megophryidae,Litter Frogs,,"(Dehling and Matsui, 2013)",Endemic,Northern Borneo,,,
Van Hasselt's Sunbird,Leptocoma brasiliana,Species,,Avifauna,Passeriformes,Nectariniidae,Sunbirds,,"(Gmelin, JF, 1788)",OR,ne India to Southeast Asia and Greater Sundas,,,
Violet Cuckoo,Chrysococcyx xanthorhynchus,Species,,Avifauna,,,,,,,,,,
Wallace's Flying Frog,Rhacophorus nigropalmatus,Species,,Herpetofauna,,,,,,,,,,
Wallace's Gliding Frog,Rhacophorus nigropalmatus,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Boulenger, 1895)",NA,"Borneo, Sumatra, Peninsular Malaysia",,,
Whiskered Treeswift,Hemiprocne comata,Species,,Avifauna,Apodiformes,Hemiprocnidae,Treeswifts,,"(Temminck, 1824)",OR,"Malay Peninsula, Sumatra, Borneo, Philippines",,,
White-bellied Yuhina,Erpornis zantholeuca,Species,,Avifauna,,,,,,,,,,
White-chested Babbler,Trichastoma rostratum,Species,,Avifauna,,,,,,,,,,
White-crowned Forktail,Enicurus leschenaulti,Species,,Avifauna,,,,,,,,,,
White-crowned Hornbill,Berenicornis comatus,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Raffles, 1822)",OR,"Malay Peninsula, Sumatra, Borneo",,,
White-crowned Shama,Copsychus stricklandii,Species,,Avifauna,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers",,"(Motley & Dillwyn, 1855)",OR,Borneo,,,
White-fronted Falconet,Microhierax latifrons,Species,,Avifauna,,,,,,,,,,
White-lipped Frog,Litoria infrafrenata,Species,,Herpetofauna,Anura,Ranidae,True Frogs,,"(Peters, 1871)",Endemic,Borneo,,,
Woodpecker,Picidae,Family,,Avifauna,,,,,,,,,,
Wreathed Hornbill,Rhyticeros undulatus,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Shaw, 1812)",OR,ne India to Borneo and Java,,SSP,"Treat species as monotypic. Kemp, 2001."
Yellow-bellied Bulbul,Alophoixus phaeocephalus,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Hartlaub, 1844)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Yellow-bellied Prinia,Prinia flaviventris,Species,,Avifauna,Passeriformes,Cisticolidae,Cisticolas and allies,,"(Delessert, 1840)",OR,widespread,,,
Yellow-breasted Flowerpecker,Prionochilus maculatus,Species,,Avifauna,Passeriformes,Dicaeidae,Flowerpeckers,,"(Temminck, 1836)",OR,"Malay Peninsula, Borneo",,,
Yellow-rumped Flowerpecker,Prionochilus xanthopygius,Species,,Avifauna,Passeriformes,Dicaeidae,Flowerpeckers,,"(Salvadori, 1868)",OR,Borneo,,,
Yellow-crowned Barbet,Psilopogon henricii,Species,,Avifauna,,,,,,,,,,
Yellow-vented Bulbul,Pycnonotus goiavier,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Scopoli, 1786)",OR,"Southeast Asia, Philippines",,,
Yellow-vented Flowepecker,Dicaeum chrysorrheum,Species,,Avifauna,,,,,,,,,,
Zebra Dove,Geopelia striata,Species,,Avifauna,Columbiformes,Columbidae,"Pigeons, Doves",,"(Linnaeus, 1766)",OR,"Malay Peninsula , Sumatra, Java",,,
